Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.2         |
|    ep_rew_mean          | 0.351        |
| time/                   |              |
|    fps                  | 570          |
|    iterations           | 68           |
|    time_elapsed         | 243          |
|    total_timesteps      | 139264       |
| train/                  |              |
|    approx_kl            | 0.0020832568 |
|    clip_fraction        | 0.0262       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.573       |
|    explained_variance   | 0.182        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0116       |
|    n_updates            | 670          |
|    policy_gradient_loss | -0.0051      |
|    value_loss           | 0.0132       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51.3        |
|    ep_rew_mean          | 0.366       |
| time/                   |             |
|    fps                  | 571         |
|    iterations           | 69          |
|    time_elapsed         | 247         |
|    total_timesteps      | 141312      |
| train/                  |             |
|    approx_kl            | 0.002632211 |
|    clip_fraction        | 0.0323      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.688      |
|    explained_variance   | 0.223       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0063      |
|    n_updates            | 680         |
|    policy_gradient_loss | -0.00453    |
|    value_loss           | 0.0181      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55           |
|    ep_rew_mean          | 0.355        |
| time/                   |              |
|    fps                  | 571          |
|    iterations           | 70           |
|    time_elapsed         | 250          |
|    total_timesteps      | 143360       |
| train/                  |              |
|    approx_kl            | 0.0018056411 |
|    clip_fraction        | 0.0251       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.558       |
|    explained_variance   | 0.484        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00118      |
|    n_updates            | 690          |
|    policy_gradient_loss | -0.00309     |
|    value_loss           | 0.00999      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 56.3         |
|    ep_rew_mean          | 0.341        |
| time/                   |              |
|    fps                  | 571          |
|    iterations           | 71           |
|    time_elapsed         | 254          |
|    total_timesteps      | 145408       |
| train/                  |              |
|    approx_kl            | 0.0026977628 |
|    clip_fraction        | 0.0305       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.607       |
|    explained_variance   | 0.604        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00692      |
|    n_updates            | 700          |
|    policy_gradient_loss | -0.00401     |
|    value_loss           | 0.0108       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.8        |
|    ep_rew_mean          | 0.36        |
| time/                   |             |
|    fps                  | 571         |
|    iterations           | 72          |
|    time_elapsed         | 257         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.005171902 |
|    clip_fraction        | 0.0597      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.625      |
|    explained_variance   | 0.154       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0278     |
|    n_updates            | 710         |
|    policy_gradient_loss | -0.0104     |
|    value_loss           | 0.0195      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.2         |
|    ep_rew_mean          | 0.357        |
| time/                   |              |
|    fps                  | 571          |
|    iterations           | 73           |
|    time_elapsed         | 261          |
|    total_timesteps      | 149504       |
| train/                  |              |
|    approx_kl            | 0.0038619502 |
|    clip_fraction        | 0.0512       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.675       |
|    explained_variance   | -0.0834      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0113       |
|    n_updates            | 720          |
|    policy_gradient_loss | -0.00434     |
|    value_loss           | 0.0179       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 54.2         |
|    ep_rew_mean          | 0.315        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 74           |
|    time_elapsed         | 264          |
|    total_timesteps      | 151552       |
| train/                  |              |
|    approx_kl            | 0.0049409987 |
|    clip_fraction        | 0.0475       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.632       |
|    explained_variance   | 0.249        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00193     |
|    n_updates            | 730          |
|    policy_gradient_loss | -0.00394     |
|    value_loss           | 0.013        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.7         |
|    ep_rew_mean          | 0.326        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 75           |
|    time_elapsed         | 268          |
|    total_timesteps      | 153600       |
| train/                  |              |
|    approx_kl            | 0.0014555199 |
|    clip_fraction        | 0.0211       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.583       |
|    explained_variance   | 0.017        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.000869    |
|    n_updates            | 740          |
|    policy_gradient_loss | -0.00204     |
|    value_loss           | 0.0182       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 57           |
|    ep_rew_mean          | 0.326        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 76           |
|    time_elapsed         | 271          |
|    total_timesteps      | 155648       |
| train/                  |              |
|    approx_kl            | 0.0037814316 |
|    clip_fraction        | 0.0552       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.606       |
|    explained_variance   | 0.238        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0176      |
|    n_updates            | 750          |
|    policy_gradient_loss | -0.00588     |
|    value_loss           | 0.0106       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.9         |
|    ep_rew_mean          | 0.272        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 77           |
|    time_elapsed         | 275          |
|    total_timesteps      | 157696       |
| train/                  |              |
|    approx_kl            | 0.0054186666 |
|    clip_fraction        | 0.0738       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.618       |
|    explained_variance   | 0.425        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0113       |
|    n_updates            | 760          |
|    policy_gradient_loss | -0.00386     |
|    value_loss           | 0.0116       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.9         |
|    ep_rew_mean          | 0.264        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 78           |
|    time_elapsed         | 278          |
|    total_timesteps      | 159744       |
| train/                  |              |
|    approx_kl            | 0.0035796347 |
|    clip_fraction        | 0.0397       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.517       |
|    explained_variance   | 0.165        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0216       |
|    n_updates            | 770          |
|    policy_gradient_loss | -0.00374     |
|    value_loss           | 0.00838      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 58.8         |
|    ep_rew_mean          | 0.273        |
| time/                   |              |
|    fps                  | 572          |
|    iterations           | 79           |
|    time_elapsed         | 282          |
|    total_timesteps      | 161792       |
| train/                  |              |
|    approx_kl            | 0.0030781054 |
|    clip_fraction        | 0.0299       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.545       |
|    explained_variance   | 0.152        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0113      |
|    n_updates            | 780          |
|    policy_gradient_loss | -0.00243     |
|    value_loss           | 0.0135       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.4         |
|    ep_rew_mean          | 0.285        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 80           |
|    time_elapsed         | 285          |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0041977577 |
|    clip_fraction        | 0.0405       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.51        |
|    explained_variance   | 0.0774       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00789     |
|    n_updates            | 790          |
|    policy_gradient_loss | -0.00403     |
|    value_loss           | 0.0134       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.1         |
|    ep_rew_mean          | 0.267        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 81           |
|    time_elapsed         | 289          |
|    total_timesteps      | 165888       |
| train/                  |              |
|    approx_kl            | 0.0046988865 |
|    clip_fraction        | 0.0521       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.456       |
|    explained_variance   | 0.292        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.000645    |
|    n_updates            | 800          |
|    policy_gradient_loss | -0.00493     |
|    value_loss           | 0.0121       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 67.1         |
|    ep_rew_mean          | 0.239        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 82           |
|    time_elapsed         | 292          |
|    total_timesteps      | 167936       |
| train/                  |              |
|    approx_kl            | 0.0051728906 |
|    clip_fraction        | 0.0458       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.469       |
|    explained_variance   | 0.0938       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0101      |
|    n_updates            | 810          |
|    policy_gradient_loss | -0.0096      |
|    value_loss           | 0.0112       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.9         |
|    ep_rew_mean          | 0.262        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 83           |
|    time_elapsed         | 296          |
|    total_timesteps      | 169984       |
| train/                  |              |
|    approx_kl            | 0.0027023577 |
|    clip_fraction        | 0.0321       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.524       |
|    explained_variance   | 0.409        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00836     |
|    n_updates            | 820          |
|    policy_gradient_loss | -0.00199     |
|    value_loss           | 0.00621      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.6         |
|    ep_rew_mean          | 0.298        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 84           |
|    time_elapsed         | 299          |
|    total_timesteps      | 172032       |
| train/                  |              |
|    approx_kl            | 0.0033570912 |
|    clip_fraction        | 0.0203       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.478       |
|    explained_variance   | 0.348        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0207       |
|    n_updates            | 830          |
|    policy_gradient_loss | -0.00255     |
|    value_loss           | 0.0129       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65.1         |
|    ep_rew_mean          | 0.327        |
| time/                   |              |
|    fps                  | 573          |
|    iterations           | 85           |
|    time_elapsed         | 303          |
|    total_timesteps      | 174080       |
| train/                  |              |
|    approx_kl            | 0.0023599388 |
|    clip_fraction        | 0.0166       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.494       |
|    explained_variance   | 0.295        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00653      |
|    n_updates            | 840          |
|    policy_gradient_loss | -0.0015      |
|    value_loss           | 0.0138       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 64.4         |
|    ep_rew_mean          | 0.321        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 86           |
|    time_elapsed         | 306          |
|    total_timesteps      | 176128       |
| train/                  |              |
|    approx_kl            | 0.0023792037 |
|    clip_fraction        | 0.0348       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.425       |
|    explained_variance   | 0.462        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00812      |
|    n_updates            | 850          |
|    policy_gradient_loss | -0.00383     |
|    value_loss           | 0.00716      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 65.5         |
|    ep_rew_mean          | 0.261        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 87           |
|    time_elapsed         | 310          |
|    total_timesteps      | 178176       |
| train/                  |              |
|    approx_kl            | 0.0038002422 |
|    clip_fraction        | 0.0572       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.424       |
|    explained_variance   | 0.289        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0205       |
|    n_updates            | 860          |
|    policy_gradient_loss | -0.00452     |
|    value_loss           | 0.0127       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.5         |
|    ep_rew_mean          | 0.286        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 88           |
|    time_elapsed         | 313          |
|    total_timesteps      | 180224       |
| train/                  |              |
|    approx_kl            | 0.0028008246 |
|    clip_fraction        | 0.0387       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.419       |
|    explained_variance   | 0.423        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00301     |
|    n_updates            | 870          |
|    policy_gradient_loss | -0.00307     |
|    value_loss           | 0.0116       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.3         |
|    ep_rew_mean          | 0.271        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 89           |
|    time_elapsed         | 317          |
|    total_timesteps      | 182272       |
| train/                  |              |
|    approx_kl            | 0.0038493748 |
|    clip_fraction        | 0.0274       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.463       |
|    explained_variance   | 0.23         |
|    learning_rate        | 0.0003       |
|    loss                 | -0.014       |
|    n_updates            | 880          |
|    policy_gradient_loss | -0.0042      |
|    value_loss           | 0.00993      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.1         |
|    ep_rew_mean          | 0.323        |
| time/                   |              |
|    fps                  | 574          |
|    iterations           | 90           |
|    time_elapsed         | 320          |
|    total_timesteps      | 184320       |
| train/                  |              |
|    approx_kl            | 0.0023842868 |
|    clip_fraction        | 0.0256       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.425       |
|    explained_variance   | 0.497        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00129      |
|    n_updates            | 890          |
|    policy_gradient_loss | -0.00341     |
|    value_loss           | 0.00641      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.2        |
|    ep_rew_mean          | 0.299       |
| time/                   |             |
|    fps                  | 574         |
|    iterations           | 91          |
|    time_elapsed         | 324         |
|    total_timesteps      | 186368      |
| train/                  |             |
|    approx_kl            | 0.012539618 |
|    clip_fraction        | 0.0533      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.501      |
|    explained_variance   | 0.385       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0363     |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.0079     |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.4        |
|    ep_rew_mean          | 0.28        |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 92          |
|    time_elapsed         | 327         |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.004375039 |
|    clip_fraction        | 0.0338      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.45       |
|    explained_variance   | 0.234       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00304    |
|    n_updates            | 910         |
|    policy_gradient_loss | -0.00347    |
|    value_loss           | 0.0104      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.8        |
|    ep_rew_mean          | 0.301       |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 93          |
|    time_elapsed         | 331         |
|    total_timesteps      | 190464      |
| train/                  |             |
|    approx_kl            | 0.006648503 |
|    clip_fraction        | 0.0495      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.51       |
|    explained_variance   | 0.656       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0388      |
|    n_updates            | 920         |
|    policy_gradient_loss | -0.00405    |
|    value_loss           | 0.00567     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 60.1         |
|    ep_rew_mean          | 0.269        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 94           |
|    time_elapsed         | 334          |
|    total_timesteps      | 192512       |
| train/                  |              |
|    approx_kl            | 0.0027704332 |
|    clip_fraction        | 0.0303       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.534       |
|    explained_variance   | 0.356        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0167       |
|    n_updates            | 930          |
|    policy_gradient_loss | -0.00309     |
|    value_loss           | 0.0199       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52           |
|    ep_rew_mean          | 0.326        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 95           |
|    time_elapsed         | 338          |
|    total_timesteps      | 194560       |
| train/                  |              |
|    approx_kl            | 0.0043194676 |
|    clip_fraction        | 0.0225       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.556       |
|    explained_variance   | 0.0891       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00124      |
|    n_updates            | 940          |
|    policy_gradient_loss | -0.00113     |
|    value_loss           | 0.00902      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 57.4         |
|    ep_rew_mean          | 0.297        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 96           |
|    time_elapsed         | 341          |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0044075623 |
|    clip_fraction        | 0.063        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.555       |
|    explained_variance   | 0.233        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00682      |
|    n_updates            | 950          |
|    policy_gradient_loss | -0.00689     |
|    value_loss           | 0.0174       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.9        |
|    ep_rew_mean          | 0.324       |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 97          |
|    time_elapsed         | 345         |
|    total_timesteps      | 198656      |
| train/                  |             |
|    approx_kl            | 0.004808636 |
|    clip_fraction        | 0.0243      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.485      |
|    explained_variance   | 0.108       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0144     |
|    n_updates            | 960         |
|    policy_gradient_loss | -0.0043     |
|    value_loss           | 0.0121      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.5        |
|    ep_rew_mean          | 0.292       |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 98          |
|    time_elapsed         | 348         |
|    total_timesteps      | 200704      |
| train/                  |             |
|    approx_kl            | 0.004539706 |
|    clip_fraction        | 0.0382      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.589      |
|    explained_variance   | 0.307       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0249      |
|    n_updates            | 970         |
|    policy_gradient_loss | -0.00426    |
|    value_loss           | 0.0155      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 60.1         |
|    ep_rew_mean          | 0.301        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 99           |
|    time_elapsed         | 351          |
|    total_timesteps      | 202752       |
| train/                  |              |
|    approx_kl            | 0.0054465765 |
|    clip_fraction        | 0.0466       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.448       |
|    explained_variance   | 0.226        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0201      |
|    n_updates            | 980          |
|    policy_gradient_loss | -0.00504     |
|    value_loss           | 0.0111       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.3        |
|    ep_rew_mean          | 0.323       |
| time/                   |             |
|    fps                  | 576         |
|    iterations           | 100         |
|    time_elapsed         | 355         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.008918342 |
|    clip_fraction        | 0.0381      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.505      |
|    explained_variance   | 0.0353      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00483    |
|    n_updates            | 990         |
|    policy_gradient_loss | -0.00547    |
|    value_loss           | 0.011       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.4        |
|    ep_rew_mean          | 0.344       |
| time/                   |             |
|    fps                  | 576         |
|    iterations           | 101         |
|    time_elapsed         | 358         |
|    total_timesteps      | 206848      |
| train/                  |             |
|    approx_kl            | 0.003649312 |
|    clip_fraction        | 0.0341      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.47       |
|    explained_variance   | 0.227       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00396    |
|    n_updates            | 1000        |
|    policy_gradient_loss | -0.00413    |
|    value_loss           | 0.014       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.8        |
|    ep_rew_mean          | 0.319       |
| time/                   |             |
|    fps                  | 576         |
|    iterations           | 102         |
|    time_elapsed         | 362         |
|    total_timesteps      | 208896      |
| train/                  |             |
|    approx_kl            | 0.004262324 |
|    clip_fraction        | 0.0602      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.505      |
|    explained_variance   | 0.381       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0227     |
|    n_updates            | 1010        |
|    policy_gradient_loss | -0.00333    |
|    value_loss           | 0.0129      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.3         |
|    ep_rew_mean          | 0.33         |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 103          |
|    time_elapsed         | 365          |
|    total_timesteps      | 210944       |
| train/                  |              |
|    approx_kl            | 0.0146804005 |
|    clip_fraction        | 0.0734       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.566       |
|    explained_variance   | 0.226        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0168      |
|    n_updates            | 1020         |
|    policy_gradient_loss | -0.00978     |
|    value_loss           | 0.00724      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.5         |
|    ep_rew_mean          | 0.292        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 104          |
|    time_elapsed         | 369          |
|    total_timesteps      | 212992       |
| train/                  |              |
|    approx_kl            | 0.0034161522 |
|    clip_fraction        | 0.043        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.46        |
|    explained_variance   | 0.286        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0157      |
|    n_updates            | 1030         |
|    policy_gradient_loss | -0.00406     |
|    value_loss           | 0.0153       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 57.6         |
|    ep_rew_mean          | 0.272        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 105          |
|    time_elapsed         | 372          |
|    total_timesteps      | 215040       |
| train/                  |              |
|    approx_kl            | 0.0028732982 |
|    clip_fraction        | 0.0189       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.35        |
|    explained_variance   | 0.315        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0117       |
|    n_updates            | 1040         |
|    policy_gradient_loss | -0.00227     |
|    value_loss           | 0.0121       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 58.4         |
|    ep_rew_mean          | 0.266        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 106          |
|    time_elapsed         | 376          |
|    total_timesteps      | 217088       |
| train/                  |              |
|    approx_kl            | 0.0043390486 |
|    clip_fraction        | 0.048        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.553       |
|    explained_variance   | 0.363        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0159       |
|    n_updates            | 1050         |
|    policy_gradient_loss | -0.00453     |
|    value_loss           | 0.0105       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.6         |
|    ep_rew_mean          | 0.262        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 107          |
|    time_elapsed         | 380          |
|    total_timesteps      | 219136       |
| train/                  |              |
|    approx_kl            | 0.0025027653 |
|    clip_fraction        | 0.0305       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.461       |
|    explained_variance   | 0.311        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0221       |
|    n_updates            | 1060         |
|    policy_gradient_loss | -0.00444     |
|    value_loss           | 0.0111       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 61.9         |
|    ep_rew_mean          | 0.281        |
| time/                   |              |
|    fps                  | 576          |
|    iterations           | 108          |
|    time_elapsed         | 383          |
|    total_timesteps      | 221184       |
| train/                  |              |
|    approx_kl            | 0.0034270787 |
|    clip_fraction        | 0.0326       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.446       |
|    explained_variance   | 0.112        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00571     |
|    n_updates            | 1070         |
|    policy_gradient_loss | -0.00214     |
|    value_loss           | 0.01         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.9        |
|    ep_rew_mean          | 0.269       |
| time/                   |             |
|    fps                  | 576         |
|    iterations           | 109         |
|    time_elapsed         | 387         |
|    total_timesteps      | 223232      |
| train/                  |             |
|    approx_kl            | 0.001255875 |
|    clip_fraction        | 0.0243      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.348      |
|    explained_variance   | 0.13        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00902     |
|    n_updates            | 1080        |
|    policy_gradient_loss | -0.00366    |
|    value_loss           | 0.0119      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65          |
|    ep_rew_mean          | 0.249       |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 110         |
|    time_elapsed         | 391         |
|    total_timesteps      | 225280      |
| train/                  |             |
|    approx_kl            | 0.005763638 |
|    clip_fraction        | 0.0553      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.493      |
|    explained_variance   | 0.51        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00786    |
|    n_updates            | 1090        |
|    policy_gradient_loss | -0.00591    |
|    value_loss           | 0.00717     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.5         |
|    ep_rew_mean          | 0.234        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 111          |
|    time_elapsed         | 394          |
|    total_timesteps      | 227328       |
| train/                  |              |
|    approx_kl            | 0.0021398372 |
|    clip_fraction        | 0.0231       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.401       |
|    explained_variance   | 0.248        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0017      |
|    n_updates            | 1100         |
|    policy_gradient_loss | -0.00279     |
|    value_loss           | 0.0075       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 66.3         |
|    ep_rew_mean          | 0.225        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 112          |
|    time_elapsed         | 398          |
|    total_timesteps      | 229376       |
| train/                  |              |
|    approx_kl            | 0.0019186425 |
|    clip_fraction        | 0.0322       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.298       |
|    explained_variance   | 0.166        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00486     |
|    n_updates            | 1110         |
|    policy_gradient_loss | -0.0024      |
|    value_loss           | 0.008        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 66.6         |
|    ep_rew_mean          | 0.251        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 113          |
|    time_elapsed         | 402          |
|    total_timesteps      | 231424       |
| train/                  |              |
|    approx_kl            | 0.0032999974 |
|    clip_fraction        | 0.0147       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.356       |
|    explained_variance   | 0.227        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00677      |
|    n_updates            | 1120         |
|    policy_gradient_loss | -0.00287     |
|    value_loss           | 0.0112       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 69.2         |
|    ep_rew_mean          | 0.244        |
